"Allergy & Immunology, Allergy"
"Anesthesiology, Critical Care Medicine"
"Anesthesiology, Pain Medicine"
"Assisted Living Facility, Assisted Living, Mental Illness"
"Chiropractor, Orthopedic"
"Chiropractor, Rehabilitation"
"Chiropractor, Sports Physician"
"Clinic/Center, Birthing"
"Clinic/Center, Mental Health (Including Community Mental Health Center)"
"Clinic/Center, Rehabilitation"
"Clinical Nurse Specialist, Acute Care"
"Clinical Nurse Specialist, Pediatrics"
"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities"
"Counselor, Addiction (Substance Use Disorder)"
"Counselor, Mental Health"
"Counselor, Pastoral"
"Counselor, Professional"
"Counselor, School"
"Dentist, Dental Public Health"
"Dentist, Endodontics"
"Dentist, General Practice"
"Dentist, Oral and Maxillofacial Surgery"
"Dentist, Orthodontics and Dentofacial Orthopedics"
"Dentist, Pediatric Dentistry"
"Dentist, Periodontics"
"Dentist, Prosthodontics"
"Dietitian, Registered"
"Emergency Medical Technician, Intermediate"
"Emergency Medical Technician, Paramedic"
"Emergency Medicine, Emergency Medical Services"
"Emergency Medicine, Medical Toxicology"
"Family Medicine, Addiction Medicine"
"Family Medicine, Adult Medicine"
"Family Medicine, Hospice and Palliative Medicine"
"Family Medicine, Sports Medicine"
"Genetic Counselor, MS"
"Internal Medicine, Addiction Medicine"
"Internal Medicine, Adolescent Medicine"
"Internal Medicine, Adult Congenital Heart Disease"
"Internal Medicine, Advanced Heart Failure and Transplant Cardiology"
"Internal Medicine, Cardiovascular Disease"
"Internal Medicine, Clinical Cardiac Electrophysiology"
"Internal Medicine, Critical Care Medicine"
"Internal Medicine, Endocrinology, Diabetes & Metabolism"
"Internal Medicine, Gastroenterology"
"Internal Medicine, Geriatric Medicine"
"Internal Medicine, Hematology & Oncology"
"Internal Medicine, Hematology"
"Internal Medicine, Hospice and Palliative Medicine"
"Internal Medicine, Infectious Disease"
"Internal Medicine, Interventional Cardiology"
"Internal Medicine, Medical Oncology"
"Internal Medicine, Nephrology"
"Internal Medicine, Pulmonary Disease"
"Internal Medicine, Rheumatology"
"Internal Medicine, Sleep Medicine"
"Lactation Consultant, Non-RN"
"Medical Genetics, Clinical Genetics (M.D.)"
"Military Health Care Provider, Independent Duty Medical Technicians"
"Neuromusculoskeletal Medicine, Sports Medicine"
"Nuclear Medicine, Nuclear Cardiology"
"Nurse Anesthetist, Certified Registered"
"Nurse Practitioner, Acute Care"
"Nurse Practitioner, Adult Health"
"Nurse Practitioner, Community Health"
"Nurse Practitioner, Family"
"Nurse Practitioner, Gerontology"
"Nurse Practitioner, Neonatal"
