hospital_id,hospital_name,doctor_npi,doctor_full_name,department,specialty
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1265396600,Dr. TASLEEM ABDULLAH,General/Other,"Psychologist, School"
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1467955435,Dr. MONICA ACEVEDO,General/Other,Health Educator
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1366863888,Dr. LAREINA ADAMS,General/Other,Registered Nurse
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1922961457,Dr. LISA ADAMS,General/Other,Case Manager/Care Coordinator
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1376112607,Dr. BETHEL ADEFRES,Radiology,"Radiology, Therapeutic Radiology"
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1235484817,Dr. CHRISTINA AGDA,General/Other,"Social Worker, Clinical"
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1851872857,Dr. ANIRUDHA AGNIHOTRY,General Practice,"Dentist, General Practice"
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1639584287,Dr. VINIT AGRAWAL,Internal Medicine,Internal Medicine
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1659152791,Dr. JOHANNA AGUILAR,General/Other,Case Manager/Care Coordinator
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1306661392,Dr. JUAN AGUILAR,General/Other,Case Manager/Care Coordinator
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1588414916,Dr. AARON AGUIRRE,General/Other,Case Manager/Care Coordinator
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1851857171,Dr. ADEWALE AJAYI,General/Other,Pharmacist
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1073386132,Dr. YOUSEF AL-SULYMAN,General/Other,Dentist
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1720727225,Dr. JUAN ALARCON MEDINA,General/Other,Physician Assistant
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1558029231,Dr. AMBER ALBIANI,General/Other,Home Health Aide
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1205138773,Dr. META ALBRIGHT ZIMMERMAN,General/Other,"Speech-Language Pathologist,  "
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1144918210,Dr. CARLO RIEL ALCALA,General/Other,Occupational Therapist
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1487110698,Dr. JENNIFER ALCANTAR,General/Other,Peer Specialist
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1881165298,Dr. LORENA ALCANTAR,General/Other,Behavior Technician
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1326777988,Dr. JOSE ALDACO,General/Other,Peer Specialist
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1285243154,Dr. KIMBERLY ALDACO,General/Other,Behavior Technician
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1972204972,Dr. JOANN ALDEARD,General/Other,"Nurse Practitioner, Family"
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1023731510,Dr. LAUREN ALEXA,General/Other,Student in an Organized Health Care Education/Training Program
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1558081562,Dr. FIRAS ALHALAIBEH,General/Other,Student in an Organized Health Care Education/Training Program
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1710342969,Dr. DECINDA ALLEN,General/Other,Marriage & Family Therapist
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1619795325,Dr. MARY ALLEN,General/Other,Behavior Technician
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1457970170,Dr. CHRISTINA ALMENDAREZ,General/Other,"Social Worker, Clinical"
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1306315239,Dr. MARTHA ALONSO,General/Other,Nurse's Aide
